movie_id,director
10449,Luis Mandoki
29444,Jefery Levy
26352,Keenen Ivory Wayans
124472,Jean Bach
503475,Nick Park
85778,Freida Lee Mock
792,Oliver Stone
17692,Joe Alves
17795,Peter Segal
75,Tim Burton
13891,Alexander Payne
9390,Cameron Crowe
378,Joel Coen
10896,Barry Levinson
2322,Phil Alden Robinson
41240,Anjelica Huston
26949,Richard Attenborough
9819,Jerry Zaks
31908,Rob Reiner
3179,Mike Judge
1802,Claude Chabrol
4232,Wes Craven
9361,Michael Mann
2928,Nora Ephron
10549,Kenneth Branagh
58102,Terry George
18451,Dan Ireland
27265,Albert Brooks
49935,André Téchiné
8818,Alan Parker
36758,Jane Campion
36040,Nicolas Roeg
9415,Dwight H. Little
55146,Ralph Ziman
12145,Fred Schepisi
42424,George T. Miller
34314,Robert Butler
2892,Michael Rymer
9404,Stanley Tong
85242,Roger Christian
9622,Dennis Dugan
8860,Thomas Carter
14832,Andrew Birkin
9619,Roger Donaldson
40506,Peter Baldwin
31000,E. Max Frye
4104,Jeremiah S. Chechik
26306,Steve James
14908,Bryan Spicer
784,Jan Svěrák
12489,Vondie Curtis-Hall
16448,Christopher Guest
17894,Ken Kwapis
28059,Richard Linklater
17949,R. Paul Miller
1968,Andy Tennant
61563,Paul Schrader
66,Clint Eastwood
20735,Bob Spiers
11419,Stephen Kessler
638,David Lynch
25624,John Singleton
9366,Mike Newell
21915,Jeff Pollack
19952,Tamra Davis
9446,John Pasquin
28005,Mira Nair
9403,Betty Thomas
27322,Theodore Witcher
10003,Phillip Noyce
9311,Bille August
884,David Cronenberg
49806,Greg Mottola
1624,Tom Shadyac
16052,Gregory Nava
4477,Alan J. Pakula
24662,Mark Dindal
18423,Robert Townsend
76996,Emma-Kate Croghan
6499,Shuki Levy
50512,Bernard Rose
9405,Tsui Hark
12723,Pat O'Connor
9360,Luis Llosa
9434,George Armitage
21626,Lynne Stopkewich
13982,Tom Schulman
77223,Bruce Beresford
9611,David Mirkin
47694,Chen Kaige
10357,Mick Jackson
9977,Peter Duncan
816,Jay Roach
2163,Jonathan Mostow
124680,Gregor Nicholas
12499,Ivan Reitman
18,Luc Besson
1811,Gregg Araki
105045,Margarethe von Trotta
11239,Masayuki Suo
2058,Griffin Dunne
9450,Mark Herman
330,Steven Spielberg
38523,Jacques Doillon
16375,Steven Soderbergh
33660,Chip Rosenbloom
45671,Clare Peploe
17770,Jonathan Lynn
15170,Caroline Thompson
1701,Simon West
26422,Peter Greenaway
1639,Jan de Bont
415,Joel Schumacher
65889,Paul Weiland
11103,Jim Wilson
11970,Ron Clements
8874,P.J. Hogan
11956,Cédric Klapisch
266,Jean-Luc Godard
754,John Woo
37567,Eric Schaeffer
607,Barry Sonnenfeld
18080,Martha Coolidge
38225,William Dear
17834,Michael Ritchie
686,Robert Zemeckis
65046,Shirley Barrett
4421,Ridley Scott
9387,John Milius
10603,Sam Weisman
2142,James Mangold
8413,Paul W. S. Anderson
10336,Mark A.Z. Dippé
20737,Charles Martin Smith
9413,Glenn Gordon Caron
14585,Neil LaBute
49462,Mike Leigh
